GESLO,GESLO_NORM,OPIS
Le Tampon,LE TAMPON,mesto v Franciji
Le Vésinet,LE VESINET,mesto v Franciji
Lens,LENS,mesto v Franciji
Les Abymes,LES ABYMES,mesto v Franciji
Les Clayes sous Bois,LES CLAYES SOUS BOIS,mesto v Franciji
Les Herbiers,LES HERBIERS,mesto v Franciji
Les Lilas,LES LILAS,mesto v Franciji
Les Mureaux,LES MUREAUX,mesto v Franciji
Les Pavillons sous Bois,LES PAVILLONS SOUS BOIS,mesto v Franciji
Les Pennes Mirabeau,LES PENNES MIRABEAU,mesto v Franciji
Les Sables d'Olonne,LES SABLES DOLONNE,mesto v Franciji
Les Ulis,LES ULIS,mesto v Franciji
Levallois Perret,LEVALLOIS PERRET,mesto v Franciji
Libourne,LIBOURNE,mesto v Franciji
Lille,LILLE,mesto v Franciji
Limay,LIMAY,mesto v Franciji
Limeil Brévannes,LIMEIL BREVANNES,mesto v Franciji
Limoges,LIMOGES,mesto v Franciji
Lingolsheim,LINGOLSHEIM,mesto v Franciji
Lisieux,LISIEUX,mesto v Franciji
Livry Gargan,LIVRY GARGAN,mesto v Franciji
Liévin,LIEVIN,mesto v Franciji
Loire Authion,LOIRE AUTHION,mesto v Franciji
Lomme,LOMME,mesto v Franciji
Longjumeau,LONGJUMEAU,mesto v Franciji
