GESLO,GESLO_NORM,OPIS
Antony,ANTONY,mesto v Franciji
Arcueil,ARCUEIL,mesto v Franciji
Argenteuil,ARGENTEUIL,mesto v Franciji
Arles,ARLES,mesto v Franciji
Armentières,ARMENTIERES,mesto v Franciji
Arras,ARRAS,mesto v Franciji
Asnières sur Seine,ASNIERES SUR SEINE,mesto v Franciji
Athis Mons,ATHIS MONS,mesto v Franciji
Aubagne,AUBAGNE,mesto v Franciji
Aubervilliers,AUBERVILLIERS,mesto v Franciji
Auch,AUCH,mesto v Franciji
Aulnay sous Bois,AULNAY SOUS BOIS,mesto v Franciji
Aurillac,AURILLAC,mesto v Franciji
Auxerre,AUXERRE,mesto v Franciji
Avignon,AVIGNON,mesto v Franciji
Avion,AVION,mesto v Franciji
Avrillé,AVRILLE,mesto v Franciji
Bagneux,BAGNEUX,mesto v Franciji
Bagnolet,BAGNOLET,mesto v Franciji
Bagnols sur Cèze,BAGNOLS SUR CEZE,mesto v Franciji
Baie Mahault,BAIE MAHAULT,mesto v Franciji
Balma,BALMA,mesto v Franciji
Bastia,BASTIA,mesto v Franciji
Bayonne,BAYONNE,mesto v Franciji
Beaucaire,BEAUCAIRE,mesto v Franciji
