GESLO,GESLO_NORM,OPIS
Saint Germain en Laye,SAINT GERMAIN EN LAYE,mesto v Franciji
Saint Gratien,SAINT GRATIEN,mesto v Franciji
Saint Herblain,SAINT HERBLAIN,mesto v Franciji
Saint Jean de Braye,SAINT JEAN DE BRAYE,mesto v Franciji
Saint Jean de la Ruelle,SAINT JEAN DE LA RUELLE,mesto v Franciji
Saint Joseph,SAINT JOSEPH,mesto v Franciji
Saint Julien en Genevois,SAINT JULIEN EN GENEVOIS,mesto v Franciji
Saint Just Saint Rambert,SAINT JUST SAINT RAMBERT,mesto v Franciji
Saint Laurent du Maroni,SAINT LAURENT DU MARONI,mesto v Franciji
Saint Laurent du Var,SAINT LAURENT DU VAR,mesto v Franciji
Saint Leu,SAINT LEU,mesto v Franciji
Saint Leu la Forêt,SAINT LEU LA FORET,mesto v Franciji
Saint Louis,SAINT LOUIS,mesto v Franciji
Saint Lô,SAINT LO,mesto v Franciji
Saint Malo,SAINT MALO,mesto v Franciji
Saint Mandé,SAINT MANDE,mesto v Franciji
Saint Martin,SAINT MARTIN,mesto v Franciji
Saint Martin d'Hères,SAINT MARTIN DHERES,mesto v Franciji
Saint Maur des Fossés,SAINT MAUR DES FOSSES,mesto v Franciji
Saint Maximin la Sainte Baume,SAINT MAXIMIN LA SAINTE BAUME,mesto v Franciji
Saint Michel sur Orge,SAINT MICHEL SUR ORGE,mesto v Franciji
