GESLO,GESLO_NORM,OPIS
Montbéliard,MONTBELIARD,mesto v Franciji
Montceau les Mines,MONTCEAU LES MINES,mesto v Franciji
Montereau Fault Yonne,MONTEREAU FAULT YONNE,mesto v Franciji
Montfermeil,MONTFERMEIL,mesto v Franciji
Montgeron,MONTGERON,mesto v Franciji
Montigny le Bretonneux,MONTIGNY LE BRETONNEUX,mesto v Franciji
Montigny lès Cormeilles,MONTIGNY LES CORMEILLES,mesto v Franciji
Montigny lès Metz,MONTIGNY LES METZ,mesto v Franciji
Montivilliers,MONTIVILLIERS,mesto v Franciji
Montluçon,MONTLUCON,mesto v Franciji
Montmorency,MONTMORENCY,mesto v Franciji
Montpellier,MONTPELLIER,mesto v Franciji
Montreuil,MONTREUIL,mesto v Franciji
Montrevault sur Èvre,MONTREVAULT SUR EVRE,mesto v Franciji
Montrouge,MONTROUGE,mesto v Franciji
Montélimar,MONTELIMAR,mesto v Franciji
Morlaix,MORLAIX,mesto v Franciji
Morne à l'Eau,MORNE A LEAU,mesto v Franciji
Morsang sur Orge,MORSANG SUR ORGE,mesto v Franciji
Mougins,MOUGINS,mesto v Franciji
Moulins,MOULINS,mesto v Franciji
Mulhouse,MULHOUSE,mesto v Franciji
Muret,MURET,mesto v Franciji
Mâcon,MACON,mesto v Franciji
Mérignac,MERIGNAC,mesto v Franciji
