GESLO,GESLO_NORM,OPIS
Boulogne sur Mer,BOULOGNE SUR MER,mesto v Franciji
Bourg en Bresse,BOURG EN BRESSE,mesto v Franciji
Bourg la Reine,BOURG LA REINE,mesto v Franciji
Bourg lès Valence,BOURG LES VALENCE,mesto v Franciji
Bourges,BOURGES,mesto v Franciji
Bourgoin Jallieu,BOURGOIN JALLIEU,mesto v Franciji
Bressuire,BRESSUIRE,mesto v Franciji
Brest,BREST,mesto v Franciji
Brie Comte Robert,BRIE COMTE ROBERT,mesto v Franciji
Brignoles,BRIGNOLES,mesto v Franciji
Brive la Gaillarde,BRIVE LA GAILLARDE,mesto v Franciji
Bron,BRON,mesto v Franciji
Bruay en Artois,BRUAY EN ARTOIS,mesto v Franciji
Bruay la Buissière,BRUAY LA BUISSIERE,mesto v Franciji
Bruges,BRUGES,mesto v Franciji
Brunoy,BRUNOY,mesto v Franciji
Bruz,BRUZ,mesto v Franciji
Bry sur Marne,BRY SUR MARNE,mesto v Franciji
Brétigny sur Orge,BRETIGNY SUR ORGE,mesto v Franciji
Bussy Saint Georges,BUSSY SAINT GEORGES,mesto v Franciji
Bègles,BEGLES,mesto v Franciji
Béthune,BETHUNE,mesto v Franciji
Béziers,BEZIERS,mesto v Franciji
Cachan,CACHAN,mesto v Franciji
Caen,CAEN,mesto v Franciji
