GESLO,GESLO_NORM,OPIS
Creil,CREIL,mesto v Franciji
Croix,CROIX,mesto v Franciji
Créteil,CRETEIL,mesto v Franciji
Cugnaux,CUGNAUX,mesto v Franciji
Dammarie lès Lys,DAMMARIE LES LYS,mesto v Franciji
Dax,DAX,mesto v Franciji
Dembeni,DEMBENI,mesto v Franciji
Denain,DENAIN,mesto v Franciji
Deuil la Barre,DEUIL LA BARRE,mesto v Franciji
Dieppe,DIEPPE,mesto v Franciji
Digne les Bains,DIGNE LES BAINS,mesto v Franciji
Dijon,DIJON,mesto v Franciji
Dole,DOLE,mesto v Franciji
Domont,DOMONT,mesto v Franciji
Douai,DOUAI,mesto v Franciji
Draguignan,DRAGUIGNAN,mesto v Franciji
Drancy,DRANCY,mesto v Franciji
Draveil,DRAVEIL,mesto v Franciji
Dreux,DREUX,mesto v Franciji
Ducos,DUCOS,mesto v Franciji
Dumbéa,DUMBEA,mesto v Franciji
Dunkerque,DUNKERQUE,mesto v Franciji
Dzaoudzi,DZAOUDZI,mesto v Franciji
Décines Charpieu,DECINES CHARPIEU,mesto v Franciji
Eaubonne,EAUBONNE,mesto v Franciji
