GESLO,GESLO_NORM,OPIS
Pornic,PORNIC,mesto v Franciji
Port de Bouc,PORT DE BOUC,mesto v Franciji
Puteaux,PUTEAUX,mesto v Franciji
Périgueux,PERIGUEUX,mesto v Franciji
Quimper,QUIMPER,mesto v Franciji
Rambouillet,RAMBOUILLET,mesto v Franciji
Ramonville Saint Agne,RAMONVILLE SAINT AGNE,mesto v Franciji
Reims,REIMS,mesto v Franciji
Remire Montjoly,REMIRE MONTJOLY,mesto v Franciji
Rennes,RENNES,mesto v Franciji
Rezé,REZE,mesto v Franciji
Rillieux la Pape,RILLIEUX LA PAPE,mesto v Franciji
Riom,RIOM,mesto v Franciji
Ris Orangis,RIS ORANGIS,mesto v Franciji
Rive de Gier,RIVE DE GIER,mesto v Franciji
Roanne,ROANNE,mesto v Franciji
Rochefort,ROCHEFORT,mesto v Franciji
Rodez,RODEZ,mesto v Franciji
Roissy en Brie,ROISSY EN BRIE,mesto v Franciji
Romainville,ROMAINVILLE,mesto v Franciji
Romans sur Isère,ROMANS SUR ISERE,mesto v Franciji
Romorantin Lanthenay,ROMORANTIN LANTHENAY,mesto v Franciji
Ronchin,RONCHIN,mesto v Franciji
Roquebrune sur Argens,ROQUEBRUNE SUR ARGENS,mesto v Franciji
Rosny sous Bois,ROSNY SOUS BOIS,mesto v Franciji
