GESLO,GESLO_NORM,OPIS
Orée d'Anjou,OREE DANJOU,mesto v Franciji
Osny,OSNY,mesto v Franciji
Oullins,OULLINS,mesto v Franciji
Oullins Pierre Bénite,OULLINS PIERRE BENITE,mesto v Franciji
Oyonnax,OYONNAX,mesto v Franciji
Ozoir la Ferrière,OZOIR LA FERRIERE,mesto v Franciji
Palaiseau,PALAISEAU,mesto v Franciji
Pamiers,PAMIERS,mesto v Franciji
Pantin,PANTIN,mesto v Franciji
Pau,PAU,mesto v Franciji
Païta,PAITA,mesto v Franciji
Perpignan,PERPIGNAN,mesto v Franciji
Pertuis,PERTUIS,mesto v Franciji
Pessac,PESSAC,mesto v Franciji
Petit Bourg,PETIT BOURG,mesto v Franciji
Petite Synthe,PETITE SYNTHE,mesto v Franciji
Pierrefitte sur Seine,PIERREFITTE SUR SEINE,mesto v Franciji
Plaisance du Touch,PLAISANCE DU TOUCH,mesto v Franciji
Plaisir,PLAISIR,mesto v Franciji
Ploemeur,PLOEMEUR,mesto v Franciji
Poissy,POISSY,mesto v Franciji
Poitiers,POITIERS,mesto v Franciji
Pontarlier,PONTARLIER,mesto v Franciji
Pontault Combault,PONTAULT COMBAULT,mesto v Franciji
Pontoise,PONTOISE,mesto v Franciji
