GESLO,GESLO_NORM,OPIS
Le Bouscat,LE BOUSCAT,mesto v Franciji
Le Cannet,LE CANNET,mesto v Franciji
Le Chesnay,LE CHESNAY,mesto v Franciji
Le Chesnay Rocquencourt,LE CHESNAY ROCQUENCOURT,mesto v Franciji
Le Creusot,LE CREUSOT,mesto v Franciji
Le François,LE FRANCOIS,mesto v Franciji
Le Gosier,LE GOSIER,mesto v Franciji
Le Grand Quevilly,LE GRAND QUEVILLY,mesto v Franciji
Le Havre,LE HAVRE,mesto v Franciji
Le Kremlin Bicêtre,LE KREMLIN BICETRE,mesto v Franciji
Le Lamentin,LE LAMENTIN,mesto v Franciji
Le Mans,LE MANS,mesto v Franciji
Le Mont Dore,LE MONT DORE,mesto v Franciji
Le Moule,LE MOULE,mesto v Franciji
Le Mée sur Seine,LE MEE SUR SEINE,mesto v Franciji
Le Pecq,LE PECQ,mesto v Franciji
Le Perreux sur Marne,LE PERREUX SUR MARNE,mesto v Franciji
Le Petit Quevilly,LE PETIT QUEVILLY,mesto v Franciji
Le Plessis Robinson,LE PLESSIS ROBINSON,mesto v Franciji
Le Plessis Trévise,LE PLESSIS TREVISE,mesto v Franciji
Le Pontet,LE PONTET,mesto v Franciji
Le Port,LE PORT,mesto v Franciji
Le Pré Saint Gervais,LE PRE SAINT GERVAIS,mesto v Franciji
Le Puy en Velay,LE PUY EN VELAY,mesto v Franciji
Le Robert,LE ROBERT,mesto v Franciji
