GESLO,GESLO_NORM,OPIS
Herblay sur Seine,HERBLAY SUR SEINE,mesto v Franciji
Houilles,HOUILLES,mesto v Franciji
Hyères,HYERES,mesto v Franciji
Hénin Beaumont,HENIN BEAUMONT,mesto v Franciji
Hérouville Saint Clair,HEROUVILLE SAINT CLAIR,mesto v Franciji
Illkirch Graffenstaden,ILLKIRCH GRAFFENSTADEN,mesto v Franciji
Illzach,ILLZACH,mesto v Franciji
Issoire,ISSOIRE,mesto v Franciji
Issy les Moulineaux,ISSY LES MOULINEAUX,mesto v Franciji
Istres,ISTRES,mesto v Franciji
Ivry sur Seine,IVRY SUR SEINE,mesto v Franciji
Joinville le Pont,JOINVILLE LE PONT,mesto v Franciji
Jouy le Moutier,JOUY LE MOUTIER,mesto v Franciji
Joué lès Tours,JOUE LES TOURS,mesto v Franciji
Juvisy sur Orge,JUVISY SUR ORGE,mesto v Franciji
Koungou,KOUNGOU,mesto v Franciji
Kourou,KOUROU,mesto v Franciji
L'Haÿ les Roses,LHAY LES ROSES,mesto v Franciji
L'Isle d'Abeau,LISLE DABEAU,mesto v Franciji
L'Isle sur la Sorgue,LISLE SUR LA SORGUE,mesto v Franciji
La Baule Escoublac,LA BAULE ESCOUBLAC,mesto v Franciji
La Celle Saint Cloud,LA CELLE SAINT CLOUD,mesto v Franciji
La Chapelle sur Erdre,LA CHAPELLE SUR ERDRE,mesto v Franciji
La Ciotat,LA CIOTAT,mesto v Franciji
La Courneuve,LA COURNEUVE,mesto v Franciji
