GESLO,GESLO_NORM,OPIS
Beaune,BEAUNE,mesto v Franciji
Beaupréau en Mauges,BEAUPREAU EN MAUGES,mesto v Franciji
Beauvais,BEAUVAIS,mesto v Franciji
Belfort,BELFORT,mesto v Franciji
Belleville,BELLEVILLE,mesto v Franciji
Bergerac,BERGERAC,mesto v Franciji
Besançon,BESANCON,mesto v Franciji
Bezons,BEZONS,mesto v Franciji
Biarritz,BIARRITZ,mesto v Franciji
Biscarrosse,BISCARROSSE,mesto v Franciji
Bischheim,BISCHHEIM,mesto v Franciji
Blagnac,BLAGNAC,mesto v Franciji
Blanquefort,BLANQUEFORT,mesto v Franciji
Blois,BLOIS,mesto v Franciji
Bobigny,BOBIGNY,mesto v Franciji
Bois Colombes,BOIS COLOMBES,mesto v Franciji
Bois d'Arcy,BOIS DARCY,mesto v Franciji
Bois Guillaume Bihorel,BOIS GUILLAUME BIHOREL,mesto v Franciji
Boissy Saint Léger,BOISSY SAINT LEGER,mesto v Franciji
Bondy,BONDY,mesto v Franciji
Bonneuil sur Marne,BONNEUIL SUR MARNE,mesto v Franciji
Bordeaux,BORDEAUX,mesto v Franciji
Bouc Bel Air,BOUC BEL AIR,mesto v Franciji
Bouguenais,BOUGUENAIS,mesto v Franciji
Boulogne Billancourt,BOULOGNE BILLANCOURT,mesto v Franciji
