GESLO,GESLO_NORM,OPIS
Cagnes sur Mer,CAGNES SUR MER,mesto v Franciji
Cahors,CAHORS,mesto v Franciji
Calais,CALAIS,mesto v Franciji
Caluire et Cuire,CALUIRE ET CUIRE,mesto v Franciji
Cambrai,CAMBRAI,mesto v Franciji
Cannes,CANNES,mesto v Franciji
Capesterre Belle Eau,CAPESTERRE BELLE EAU,mesto v Franciji
Carcassonne,CARCASSONNE,mesto v Franciji
Carpentras,CARPENTRAS,mesto v Franciji
Carquefou,CARQUEFOU,mesto v Franciji
Carrières sous Poissy,CARRIERES SOUS POISSY,mesto v Franciji
Carrières sur Seine,CARRIERES SUR SEINE,mesto v Franciji
Carvin,CARVIN,mesto v Franciji
Castanet Tolosan,CASTANET TOLOSAN,mesto v Franciji
Castelnau le Lez,CASTELNAU LE LEZ,mesto v Franciji
Castres,CASTRES,mesto v Franciji
Cavaillon,CAVAILLON,mesto v Franciji
Cayenne,CAYENNE,mesto v Franciji
Cenon,CENON,mesto v Franciji
Cergy,CERGY,mesto v Franciji
Cesson Sévigné,CESSON SEVIGNE,mesto v Franciji
Cestas,CESTAS,mesto v Franciji
Challans,CHALLANS,mesto v Franciji
Chalon sur Saône,CHALON SUR SAONE,mesto v Franciji
Chamalières,CHAMALIERES,mesto v Franciji
