GESLO,GESLO_NORM,OPIS
La Crau,LA CRAU,mesto v Franciji
La Flèche,LA FLECHE,mesto v Franciji
La Garde,LA GARDE,mesto v Franciji
La Garenne Colombes,LA GARENNE COLOMBES,mesto v Franciji
La Madeleine,LA MADELEINE,mesto v Franciji
La Possession,LA POSSESSION,mesto v Franciji
La Roche sur Yon,LA ROCHE SUR YON,mesto v Franciji
La Rochelle,LA ROCHELLE,mesto v Franciji
La Seyne sur Mer,LA SEYNE SUR MER,mesto v Franciji
La Teste de Buch,LA TESTE DE BUCH,mesto v Franciji
La Valette du Var,LA VALETTE DU VAR,mesto v Franciji
La Villette,LA VILLETTE,mesto v Franciji
Lagny sur Marne,LAGNY SUR MARNE,mesto v Franciji
Lamballe Armor,LAMBALLE ARMOR,mesto v Franciji
Lambersart,LAMBERSART,mesto v Franciji
Lamentin,LAMENTIN,mesto v Franciji
Landerneau,LANDERNEAU,mesto v Franciji
Lanester,LANESTER,mesto v Franciji
Lannion,LANNION,mesto v Franciji
Laon,LAON,mesto v Franciji
Lattes,LATTES,mesto v Franciji
Laval,LAVAL,mesto v Franciji
Laxou,LAXOU,mesto v Franciji
Le Blanc Mesnil,LE BLANC MESNIL,mesto v Franciji
Le Bourget,LE BOURGET,mesto v Franciji
