GESLO,GESLO_NORM,OPIS
Saint Médard en Jalles,SAINT MEDARD EN JALLES,mesto v Franciji
Saint Nazaire,SAINT NAZAIRE,mesto v Franciji
Saint Ouen l'Aumône,SAINT OUEN LAUMONE,mesto v Franciji
Saint Ouen sur Seine,SAINT OUEN SUR SEINE,mesto v Franciji
Saint Paul,SAINT PAUL,mesto v Franciji
Saint Pierre,SAINT PIERRE,mesto v Franciji
Saint Pierre des Corps,SAINT PIERRE DES CORPS,mesto v Franciji
Saint Pol sur Mer,SAINT POL SUR MER,mesto v Franciji
Saint Priest,SAINT PRIEST,mesto v Franciji
Saint Quentin,SAINT QUENTIN,mesto v Franciji
Saint Raphaël,SAINT RAPHAEL,mesto v Franciji
Saint Sébastien sur Loire,SAINT SEBASTIEN SUR LOIRE,mesto v Franciji
Saint Égrève,SAINT EGREVE,mesto v Franciji
Saint Étienne,SAINT ETIENNE,mesto v Franciji
Saint Étienne du Rouvray,SAINT ETIENNE DU ROUVRAY,mesto v Franciji
Sainte Anne,SAINTE ANNE,mesto v Franciji
Sainte Foy lès Lyon,SAINTE FOY LES LYON,mesto v Franciji
Sainte Geneviève des Bois,SAINTE GENEVIEVE DES BOIS,mesto v Franciji
Sainte Luce sur Loire,SAINTE LUCE SUR LOIRE,mesto v Franciji
Sainte Marie,SAINTE MARIE,mesto v Franciji
Sainte Rose,SAINTE ROSE,mesto v Franciji
Sainte Suzanne,SAINTE SUZANNE,mesto v Franciji
Saintes,SAINTES,mesto v Franciji
Sallanches,SALLANCHES,mesto v Franciji
Salon de Provence,SALON DE PROVENCE,mesto v Franciji
