GESLO,GESLO_NORM,OPIS
Strasbourg,STRASBOURG,mesto v Franciji
Sucy en Brie,SUCY EN BRIE,mesto v Franciji
Suresnes,SURESNES,mesto v Franciji
Sète,SETE,mesto v Franciji
Sèvremoine,SEVREMOINE,mesto v Franciji
Sèvres,SEVRES,mesto v Franciji
Sélestat,SELESTAT,mesto v Franciji
Talence,TALENCE,mesto v Franciji
Tarascon,TARASCON,mesto v Franciji
Tarbes,TARBES,mesto v Franciji
Tassin la Demi Lune,TASSIN LA DEMI LUNE,mesto v Franciji
Taverny,TAVERNY,mesto v Franciji
Thiais,THIAIS,mesto v Franciji
Thionville,THIONVILLE,mesto v Franciji
Thonon les Bains,THONON LES BAINS,mesto v Franciji
Torcy,TORCY,mesto v Franciji
Toul,TOUL,mesto v Franciji
Toulon,TOULON,mesto v Franciji
Toulouse,TOULOUSE,mesto v Franciji
Tourcoing,TOURCOING,mesto v Franciji
Tourlaville,TOURLAVILLE,mesto v Franciji
Tournefeuille,TOURNEFEUILLE,mesto v Franciji
Tours,TOURS,mesto v Franciji
Trappes,TRAPPES,mesto v Franciji
Tremblay en France,TREMBLAY EN FRANCE,mesto v Franciji
