GESLO,GESLO_NORM,OPIS
Roubaix,ROUBAIX,mesto v Franciji
Rouen,ROUEN,mesto v Franciji
Royan,ROYAN,mesto v Franciji
Rueil Malmaison,RUEIL MALMAISON,mesto v Franciji
Rumilly,RUMILLY,mesto v Franciji
Saint Amand les Eaux,SAINT AMAND LES EAUX,mesto v Franciji
Saint André,SAINT ANDRE,mesto v Franciji
Saint Avertin,SAINT AVERTIN,mesto v Franciji
Saint Benoît,SAINT BENOIT,mesto v Franciji
Saint Brice sous Forêt,SAINT BRICE SOUS FORET,mesto v Franciji
Saint Brieuc,SAINT BRIEUC,mesto v Franciji
Saint Chamond,SAINT CHAMOND,mesto v Franciji
Saint Cloud,SAINT CLOUD,mesto v Franciji
Saint Cyr l'École,SAINT CYR LECOLE,mesto v Franciji
Saint Cyr sur Loire,SAINT CYR SUR LOIRE,mesto v Franciji
Saint Denis,SAINT DENIS,mesto v Franciji
Saint Dizier,SAINT DIZIER,mesto v Franciji
Saint Dié des Vosges,SAINT DIE DES VOSGES,mesto v Franciji
Saint Fargeau Ponthierry,SAINT FARGEAU PONTHIERRY,mesto v Franciji
Saint Fons,SAINT FONS,mesto v Franciji
Saint Genis Laval,SAINT GENIS LAVAL,mesto v Franciji
Saint Germain en Laye,SAINT GERMAIN EN LAYE,mesto v Franciji
