GESLO,GESLO_NORM,OPIS
Troyes,TROYES,mesto v Franciji
Trélazé,TRELAZE,mesto v Franciji
Valence,VALENCE,mesto v Franciji
Valenciennes,VALENCIENNES,mesto v Franciji
Vallauris,VALLAURIS,mesto v Franciji
Valserhône,VALSERHONE,mesto v Franciji
Vandœuvre lès Nancy,VANDŒUVRE LES NANCY,mesto v Franciji
Vannes,VANNES,mesto v Franciji
Vanves,VANVES,mesto v Franciji
Vaugirard,VAUGIRARD,mesto v Franciji
Vaulx en Velin,VAULX EN VELIN,mesto v Franciji
Vauréal,VAUREAL,mesto v Franciji
Vence,VENCE,mesto v Franciji
Vendôme,VENDOME,mesto v Franciji
Verdun,VERDUN,mesto v Franciji
Verneuil sur Seine,VERNEUIL SUR SEINE,mesto v Franciji
Vernon,VERNON,mesto v Franciji
Versailles,VERSAILLES,mesto v Franciji
Vertou,VERTOU,mesto v Franciji
Vesoul,VESOUL,mesto v Franciji
Vichy,VICHY,mesto v Franciji
Vienne,VIENNE,mesto v Franciji
Vierzon,VIERZON,mesto v Franciji
Vigneux sur Seine,VIGNEUX SUR SEINE,mesto v Franciji
Villefontaine,VILLEFONTAINE,mesto v Franciji
