GESLO,GESLO_NORM,OPIS
Longwy,LONGWY,mesto v Franciji
Lons le Saunier,LONS LE SAUNIER,mesto v Franciji
Loos,LOOS,mesto v Franciji
Lorient,LORIENT,mesto v Franciji
Lormont,LORMONT,mesto v Franciji
Louviers,LOUVIERS,mesto v Franciji
Lucé,LUCE,mesto v Franciji
Lunel,LUNEL,mesto v Franciji
Lunéville,LUNEVILLE,mesto v Franciji
Lyon,LYON,mesto v Franciji
Macouria,MACOURIA,mesto v Franciji
Maisons Alfort,MAISONS ALFORT,mesto v Franciji
Maisons Laffitte,MAISONS LAFFITTE,mesto v Franciji
Malakoff,MALAKOFF,mesto v Franciji
Mamoudzou,MAMOUDZOU,mesto v Franciji
Mandelieu la Napoule,MANDELIEU LA NAPOULE,mesto v Franciji
Manosque,MANOSQUE,mesto v Franciji
Mantes la Jolie,MANTES LA JOLIE,mesto v Franciji
Mantes la Ville,MANTES LA VILLE,mesto v Franciji
Marcq en Barœul,MARCQ EN BARŒUL,mesto v Franciji
Marignane,MARIGNANE,mesto v Franciji
Marly le Roi,MARLY LE ROI,mesto v Franciji
Marmande,MARMANDE,mesto v Franciji
Marseille,MARSEILLE,mesto v Franciji
