GESLO,GESLO_NORM,OPIS
Châteauroux,CHATEAUROUX,mesto v Franciji
Châtellerault,CHATELLERAULT,mesto v Franciji
Châtenay Malabry,CHATENAY MALABRY,mesto v Franciji
Châtillon,CHATILLON,mesto v Franciji
Clamart,CLAMART,mesto v Franciji
Clermont Ferrand,CLERMONT FERRAND,mesto v Franciji
Clichy,CLICHY,mesto v Franciji
Clichy sous Bois,CLICHY SOUS BOIS,mesto v Franciji
Cluses,CLUSES,mesto v Franciji
Cognac,COGNAC,mesto v Franciji
Colmar,COLMAR,mesto v Franciji
Colombes,COLOMBES,mesto v Franciji
Colomiers,COLOMIERS,mesto v Franciji
Combs la Ville,COMBS LA VILLE,mesto v Franciji
Compiègne,COMPIEGNE,mesto v Franciji
Concarneau,CONCARNEAU,mesto v Franciji
Conflans Sainte Honorine,CONFLANS SAINTE HONORINE,mesto v Franciji
Corbeil Essonnes,CORBEIL ESSONNES,mesto v Franciji
Cormeilles en Parisis,CORMEILLES EN PARISIS,mesto v Franciji
Coudekerque Branche,COUDEKERQUE BRANCHE,mesto v Franciji
Coulommiers,COULOMMIERS,mesto v Franciji
Courbevoie,COURBEVOIE,mesto v Franciji
Cournon d'Auvergne,COURNON DAUVERGNE,mesto v Franciji
Couëron,COUERON,mesto v Franciji
Cran Gevrier,CRAN GEVRIER,mesto v Franciji
