GESLO,GESLO_NORM,OPIS
Sanary sur Mer,SANARY SUR MER,mesto v Franciji
Sannois,SANNOIS,mesto v Franciji
Saran,SARAN,mesto v Franciji
Sarcelles,SARCELLES,mesto v Franciji
Sarreguemines,SARREGUEMINES,mesto v Franciji
Sartrouville,SARTROUVILLE,mesto v Franciji
Saumur,SAUMUR,mesto v Franciji
Savigny le Temple,SAVIGNY LE TEMPLE,mesto v Franciji
Savigny sur Orge,SAVIGNY SUR ORGE,mesto v Franciji
Sceaux,SCEAUX,mesto v Franciji
Schiltigheim,SCHILTIGHEIM,mesto v Franciji
Schœlcher,SCHŒLCHER,mesto v Franciji
Sedan,SEDAN,mesto v Franciji
Segré en Anjou Bleu,SEGRE EN ANJOU BLEU,mesto v Franciji
Senlis,SENLIS,mesto v Franciji
Sens,SENS,mesto v Franciji
Sevran,SEVRAN,mesto v Franciji
Seynod,SEYNOD,mesto v Franciji
Sin le Noble,SIN LE NOBLE,mesto v Franciji
Six Fours les Plages,SIX FOURS LES PLAGES,mesto v Franciji
Soissons,SOISSONS,mesto v Franciji
Soisy sous Montmorency,SOISY SOUS MONTMORENCY,mesto v Franciji
Sorgues,SORGUES,mesto v Franciji
Sotteville lès Rouen,SOTTEVILLE LES ROUEN,mesto v Franciji
Stains,STAINS,mesto v Franciji
