GESLO,GESLO_NORM,OPIS
Martigues,MARTIGUES,mesto v Franciji
Massy,MASSY,mesto v Franciji
Matoury,MATOURY,mesto v Franciji
Maubeuge,MAUBEUGE,mesto v Franciji
Mauges sur Loire,MAUGES SUR LOIRE,mesto v Franciji
Mauguio,MAUGUIO,mesto v Franciji
Maurepas,MAUREPAS,mesto v Franciji
Meaux,MEAUX,mesto v Franciji
Melun,MELUN,mesto v Franciji
Mennecy,MENNECY,mesto v Franciji
Menton,MENTON,mesto v Franciji
Metz,METZ,mesto v Franciji
Meudon,MEUDON,mesto v Franciji
Meylan,MEYLAN,mesto v Franciji
Meyzieu,MEYZIEU,mesto v Franciji
Millau,MILLAU,mesto v Franciji
Miramas,MIRAMAS,mesto v Franciji
Mitry Mory,MITRY MORY,mesto v Franciji
Moissy Cramayel,MOISSY CRAMAYEL,mesto v Franciji
Mons en Barœul,MONS EN BARŒUL,mesto v Franciji
Mont de Marsan,MONT DE MARSAN,mesto v Franciji
Mont Saint Aignan,MONT SAINT AIGNAN,mesto v Franciji
Montaigu Vendée,MONTAIGU VENDEE,mesto v Franciji
Montauban,MONTAUBAN,mesto v Franciji
Montbrison,MONTBRISON,mesto v Franciji
