GESLO,GESLO_NORM,OPIS
Elbeuf,ELBEUF,mesto v Franciji
Ermont,ERMONT,mesto v Franciji
Eysines,EYSINES,mesto v Franciji
Faches Thumesnil,FACHES THUMESNIL,mesto v Franciji
Firminy,FIRMINY,mesto v Franciji
Fleury les Aubrais,FLEURY LES AUBRAIS,mesto v Franciji
Floirac,FLOIRAC,mesto v Franciji
Fontaine,FONTAINE,mesto v Franciji
Fontainebleau,FONTAINEBLEAU,mesto v Franciji
Fontenay aux Roses,FONTENAY AUX ROSES,mesto v Franciji
Fontenay sous Bois,FONTENAY SOUS BOIS,mesto v Franciji
Forbach,FORBACH,mesto v Franciji
Fort de France,FORT DE FRANCE,mesto v Franciji
Fos sur Mer,FOS SUR MER,mesto v Franciji
Fougères,FOUGERES,mesto v Franciji
Francheville,FRANCHEVILLE,mesto v Franciji
Franconville,FRANCONVILLE,mesto v Franciji
Fresnes,FRESNES,mesto v Franciji
Frontignan,FRONTIGNAN,mesto v Franciji
Fréjus,FREJUS,mesto v Franciji
Fécamp,FECAMP,mesto v Franciji
Gagny,GAGNY,mesto v Franciji
Gaillac,GAILLAC,mesto v Franciji
Gap,GAP,mesto v Franciji
Garches,GARCHES,mesto v Franciji
