GESLO,GESLO_NORM,OPIS
Carlet,CARLET,mesto v Španiji
Carmona,CARMONA,mesto v Španiji
Cartagena,CARTAGENA,mesto v Španiji
Cartagena Casco,CARTAGENA CASCO,mesto v Španiji
Cartaya,CARTAYA,mesto v Španiji
Castellar,CASTELLAR,mesto v Španiji
Castellar del Vallés,CASTELLAR DEL VALLES,mesto v Španiji
Castelldefels,CASTELLDEFELS,mesto v Španiji
Castellón de la Plana,CASTELLON DE LA PLANA,mesto v Španiji
Castilleja de la Cuesta,CASTILLEJA DE LA CUESTA,mesto v Španiji
Castrillón,CASTRILLON,mesto v Španiji
Castro Urdiales,CASTRO URDIALES,mesto v Španiji
Catarroja,CATARROJA,mesto v Španiji
Centro,CENTRO,mesto v Španiji
Cerro Amate,CERRO AMATE,mesto v Španiji
Ceuta,CEUTA,mesto v Španiji
Chamartín,CHAMARTIN,mesto v Španiji
Chamberí,CHAMBERI,mesto v Španiji
Chiclana de la Frontera,CHICLANA DE LA FRONTERA,mesto v Španiji
Chipiona,CHIPIONA,mesto v Španiji
Chirivella,CHIRIVELLA,mesto v Španiji
Chiva,CHIVA,mesto v Španiji
Churriana de la Vega,CHURRIANA DE LA VEGA,mesto v Španiji
Ciempozuelos,CIEMPOZUELOS,mesto v Španiji
Cieza,CIEZA,mesto v Španiji
Ciudad de Gerona,CIUDAD DE GERONA,mesto v Španiji
Ciudad de Guadalajara,CIUDAD DE GUADALAJARA,mesto v Španiji
Ciudad de Jaén,CIUDAD DE JAEN,mesto v Španiji
Ciudad de Lérida,CIUDAD DE LERIDA,mesto v Španiji
Ciudad de Tarragona,CIUDAD DE TARRAGONA,mesto v Španiji
Ciudad de Teruel,CIUDAD DE TERUEL,mesto v Španiji
Ciudad de Zaragoza,CIUDAD DE ZARAGOZA,mesto v Španiji
Ciudad Lineal,CIUDAD LINEAL,mesto v Španiji
Ciudad Real,CIUDAD REAL,mesto v Španiji
Ciudad Vieja,CIUDAD VIEJA,mesto v Španiji
Ciudadela de Menorca,CIUDADELA DE MENORCA,mesto v Španiji
Collado Villalba,COLLADO VILLALBA,mesto v Španiji
Colmenar Viejo,COLMENAR VIEJO,mesto v Španiji
Comarca de Arnedo,COMARCA DE ARNEDO,mesto v Španiji
Comarca de Haro,COMARCA DE HARO,mesto v Španiji
Conil de la Frontera,CONIL DE LA FRONTERA,mesto v Španiji
Corbera de Llobregat,CORBERA DE LLOBREGAT,mesto v Španiji
Coria del Río,CORIA DEL RIO,mesto v Španiji
Cornellà de Llobregat,CORNELLA DE LLOBREGAT,mesto v Španiji
Corralejo,CORRALEJO,mesto v Španiji
Corvera de Asturias,CORVERA DE ASTURIAS,mesto v Španiji
Coslada,COSLADA,mesto v Španiji
Costa Adeje,COSTA ADEJE,mesto v Španiji
Coín,COIN,mesto v Španiji
Crevillente,CREVILLENTE,mesto v Španiji
Cuart de Poblet,CUART DE POBLET,mesto v Španiji
Cuarte de Huerva,CUARTE DE HUERVA,mesto v Španiji
Cubellas,CUBELLAS,mesto v Španiji
Cubelles,CUBELLES,mesto v Španiji
Cuenca,CUENCA,mesto v Španiji
Cuevas del Almanzora,CUEVAS DEL ALMANZORA,mesto v Španiji
Cullera,CULLERA,mesto v Španiji
Culleredo,CULLEREDO,mesto v Španiji
Cunit,CUNIT,mesto v Španiji
Cáceres,CACERES,mesto v Španiji
Cádiz,CADIZ,mesto v Španiji
Cártama,CARTAMA,mesto v Španiji
Córdoba,CORDOBA,mesto v Španiji
Daimiel,DAIMIEL,mesto v Španiji
Denia,DENIA,mesto v Španiji
Deusto,DEUSTO,mesto v Španiji
Distrito Casco Antiguo,DISTRITO CASCO ANTIGUO,mesto v Španiji
Distrito Centro,DISTRITO CENTRO,mesto v Španiji
Distrito de Ciutat Vella,DISTRITO DE CIUTAT VELLA,mesto v Španiji
Distrito de Gràcia,DISTRITO DE GRACIA,mesto v Španiji
Distrito de la Catedral,DISTRITO DE LA CATEDRAL,mesto v Španiji
Distrito de Les Corts,DISTRITO DE LES CORTS,mesto v Španiji
Distrito de Nou Barris,DISTRITO DE NOU BARRIS,mesto v Španiji
Distrito de Sant Andreu,DISTRITO DE SANT ANDREU,mesto v Španiji
Distrito del Patriarca,DISTRITO DEL PATRIARCA,mesto v Španiji
Distrito Macarena,DISTRITO MACARENA,mesto v Španiji
Distrito Nervión,DISTRITO NERVION,mesto v Španiji
Distrito Norte,DISTRITO NORTE,mesto v Španiji
Distrito Sur,DISTRITO SUR,mesto v Španiji
Don Benito,DON BENITO,mesto v Španiji
Dos Hermanas,DOS HERMANAS,mesto v Španiji
Durango,DURANGO,mesto v Španiji
Eixample,EIXAMPLE,mesto v Španiji
Ejea de los Caballeros,EJEA DE LOS CABALLEROS,mesto v Španiji
El Astillero,EL ASTILLERO,mesto v Španiji
El Ejido,EL EJIDO,mesto v Španiji
El Escorial,EL ESCORIAL,mesto v Španiji
El Masnou,EL MASNOU,mesto v Španiji
El Palmar,EL PALMAR,mesto v Španiji
El Plan,EL PLAN,mesto v Španiji
El Prat de Llobregat,EL PRAT DE LLOBREGAT,mesto v Španiji
El Puerto de Santa María,EL PUERTO DE SANTA MARIA,mesto v Španiji
El Rosario,EL ROSARIO,mesto v Španiji
El Vendrell,EL VENDRELL,mesto v Španiji
El Viso del Alcor,EL VISO DEL ALCOR,mesto v Španiji
Elche,ELCHE,mesto v Španiji
Elda,ELDA,mesto v Španiji
Ensanche,ENSANCHE,mesto v Španiji
Erandio,ERANDIO,mesto v Španiji
Ermua,ERMUA,mesto v Španiji
